,polarity,tweet
0,0.0,RT TheoNicole Hey friends do you need a joyfully subversive coloring book by a queer indie creator Ive got you covered BN
1,-0.0625,RT PeterCoghlan1 I hope my experience will help other patients and encourage medical teams providing emergency care not to make assumptio
2,0.4333333333333333,RT paulcude Explosive exploits amp unexpected danger at every turn make for an actionpacked electrifying adventure as heroic magic w
3,0.0,RT HairyBikers On the 12th day of Christmas Amazon gave to youThe Hairy Bikers British Classics Ebook for only 99p Get stuck in
4,1.0,RT jenirwinauthor Without a doubt A Dress the Color of the Sky is the best debut novel I had ever had the privilege of reviewing 5 st
5,0.3333333333333333,RT HistoryInbooks They Laughed at Galileo How the Great Inventors Proved Their Critics Wrong by Albert Jack
6,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
7,0.1,thenaughtysquid Thanks for letting us know We want to look into this further for you So we can access the email
8,0.0,Amazon is in the house hhshawks03 today
9,0.0,RT JenniferEstep Ebooks deals books sales ad epicfantasy fantasybooksTHE RAGE OF DRAGONS by Evan Winter 299
10,0.25,RT EWPlayers Christmas is definitely here at EWP with SandraTsingLoh on our stage and then this lovely surprise from joeldelafuente and
11,0.1,A young man is feminized by his stepmother Futanari LPRTG SSRTG
12,0.0,Rihanna has a documentary on the way A source says that Amazon has paid 25M for the rights to a rihanna docume
13,0.0,Amazon Prime members can snag a Nintendo Switch Lite for 180 on WootWhile the holidays ca
14,0.0,RT THR Exclusive Sources say Amazon paid 25 million for the worldwide rights to a Peter Bergdirected doc about Rihanna
15,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
16,0.0,RT RihannaDaily RihannaPeter Berg Doc Lands Massive Payday From Amazon Exclusive via thr
17,0.0,RT BigWipes With 2 weeks to go til Christmas we may as well jump on the countdown bandwagon We have another Amazon Fire 7 8GB in gl
18,0.35,I try not to read reviews but this one made it all worth it Review on The Timekeepers Inn Available on Amazon i
19,0.0,RT Scarfolk Ha Dystopian book recommendations at AmazonThe Scarfolk Annual Discovering ScarfolkMinistry of Truth Biography of Geo
20,0.1,RT KenFry10 A mysterious man walking the earth for millenniaAnd a discovery we might not be ready for
21,-0.6,RT MusicClerk This is the condition from which my 8yearold son suffers Research into Noonans is underfunded and resources are stretch
22,0.0,HollyHH CarolynRuffles JoyRossDavis ravaghi Readerhal54 WittyMystic ryenlesli woodcowbooks
23,0.0,RT RihannaDaily RihannaPeter Berg Doc Lands Massive Payday From Amazon Exclusive via thr
24,0.4,RT diomedes66 1210 AVAILABLE NOW at Amazon paper book amp ebook kindle film camera available at photog
25,0.2,Im ready Rihanna is the reason why I even have a Amazon Prime account tbh Guava Island SAVAGEXFENTYSHOW now
26,0.0,A husbands is cuckolded at the neighborhood party by a horny futa
27,-0.12499999999999996,RT PeterCoghlan1 Thanks to my sister Vicky who kicked off big style on my behalf I finally got the attention I badly neededhttps
28,0.6000000000000001,RT freddywrites Teaching Words and How Words Work is out and available at Just in time to be a great holiday gi
29,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
30,0.0,RT judehastewrite Comedy Ebook InternationalMensDay InternationalMensDay2019 Thank you for your patie
31,0.4,RT aarondbrinker Its ThursdayMorning once again What are you planning to read this weekendSecondChances is free with KindleUnli
32,0.0,RT flowerhunni This lady leaves out drinks and snacks for delivery people during the festive period and I cant get over this amazon deli
33,0.12878787878787878,RT catturd2 Check out Ned Ryuns new book Ned was one of the first blue check marks to retweet and support me when I started Twitter
34,0.0,RT CNN Brazils president called Swedish climate change activist Greta Thunberg a brat after she condemned violence against indigenous
35,0.0,ALEXA THE FORCE WILL ALWAYS BE WITH YOU
